id,str_exp,TextList,Segmened_text,vars
1683,((cos(60.0/180*pi))*2.0),"Equals(RadiusOf(Circle(O)),2), Point(A), Circle(O), Line(O,D), IsChordOf(Line(B,C),Circle($)), Equals(MeasureOf(Angle(B,A,C)),60бу), LengthOf(Line(O,D))",Equals RadiusOf Circle O  2  Point A  Circle O  Line OD  IsChordOf Line BC Circle $   Equals MeasureOf Angle BAC  60бу  LengthOf Line OD  ,1
1684,(||180-50.0|-50.0|/2),"Circle(O), IsMidpointOf(Point(C),Line($)), Line(A,B), Equals(MeasureOf(Angle(O,A,B)),50бу), MeasureOf(Angle(B,O,C))",Circle O  IsMidpointOf Point C Line $   Line AB  Equals MeasureOf Angle OAB  50бу  MeasureOf Angle BOC  ,40
1686,||180-70.0|-70.0|,"IsDiameterOf(Line(A,B),Circle(O)), Equals(MeasureOf(Angle(A,O,C)),70бу), Parallel(Line(A,D),Line(O,C)), MeasureOf(Angle(A,O,D))",IsDiameterOf Line AB Circle O   Equals MeasureOf Angle AOC  70бу  Parallel Line AD Line OC   MeasureOf Angle AOD  ,40
1687,||180-30.0|-30.0|,"Circle(O), Equals(MeasureOf(Angle(A)),30бу), MeasureOf(Angle(A,O,B))",Circle O  Equals MeasureOf Angle A  30бу  MeasureOf Angle AOB  ,120
1689,||180-30.0|-30.0|,"Circle(O), Line(A,C), Triangle(A,B,C), Line(A,B), Point(D), Equals(MeasureOf(Angle(B,A,C)),30бу), Line(A,D)",Circle O  Line AC  Triangle ABC  Line AB  Point D  Equals MeasureOf Angle BAC  30бу  Line AD ,120
1691,((б╠(((sin(30/180*pi))*2.0)*((sin(30/180*pi))*2.0)-2.0*2.0))+(б╠(((sin(30/180*pi))*2.0)*((sin(30/180*pi))*2.0)-2.0*2.0))),"Line(A,B), Line(C,D), Circle(O), Line(C,E), Line(E,B), DiameterOf(Circle(O)), Equals(LengthOf(Line(A,B)),2), PerimeterOf(Polygon($)), LengthOf(Triangle(P,E,B))",Line AB  Line CD  Circle O  Line CE  Line EB  DiameterOf Circle O   Equals LengthOf Line AB  2  PerimeterOf Polygon $   LengthOf Triangle PEB  ,2.732050808
1693,||180-60.0|-60.0|,"IsDiameterOf(Line(A,B),Circle(O)), Line(B,D), Line(C,D), Equals(MeasureOf(Angle(B,O,D)),60бу), MeasureOf(Angle(A,O,C))",IsDiameterOf Line AB Circle O   Line BD  Line CD  Equals MeasureOf Angle BOD  60бу  MeasureOf Angle AOC  ,60
1694,|90-40.0|,"IsDiameterOf(Line(A,B),Circle(O)), Circle(O), Equals(MeasureOf(Angle(B,C,D)),40бу), MeasureOf(Angle(A,B,D))",IsDiameterOf Line AB Circle O   Circle O  Equals MeasureOf Angle BCD  40бу  MeasureOf Angle ABD  ,50
1695,50,"IsDiameterOf(Line(A,B),Circle(O)), IsDiameterOf(Line(C,D),Circle(O)), IsChordOf(Line(D,F),Circle($)), IsChordOf(Line(B,E),Circle($)), Line(D,F), Line(B,E), Equals(MeasureOf(Angle(B)),50бу), MeasureOf(Angle(D))",IsDiameterOf Line AB Circle O   IsDiameterOf Line CD Circle O   IsChordOf Line DF Circle $   IsChordOf Line BE Circle $   Line DF  Line BE  Equals MeasureOf Angle B  50бу  MeasureOf Angle D  ,50
1697,40,"IsChordOf(Line(A,E),Circle($)), Line(C,D), Line(A,O), Equals(MeasureOf(Angle(A,O,C)),40бу), Angle($), Circle($), Line(D,E)",IsChordOf Line AE Circle $   Line CD  Line AO  Equals MeasureOf Angle AOC  40бу  Angle $  Circle $  Line DE ,40
1700,|||90.0-25.0|-180|-||90.0-25.0|-180||,"Triangle(A,B,C), Equals(MeasureOf(Angle(C)),90бу), Equals(MeasureOf(Angle(B)),25бу), LengthOf(Line(C,A)), Circle($), Line(A,B), Point(D), Line(A,D)",Triangle ABC  Equals MeasureOf Angle C  90бу  Equals MeasureOf Angle B  25бу  LengthOf Line CA   Circle $  Line AB  Point D  Line AD ,50
1702,||180-50.0|-50.0|,"Line(A,B), Line(C,D), Circle(O), Equals(MeasureOf(Angle(A,O,C)),50бу), SinOf(g), Parallel(Line(A,E),Line(C,D)), MeasureOf(Angle(A,O,E))",Line AB  Line CD  Circle O  Equals MeasureOf Angle AOC  50бу  SinOf g  Parallel Line AE Line CD   MeasureOf Angle AOE  ,80
1704,1,"IsChordOf(Line(A,B),Circle(O)), Equals(RadiusOf(Circle(O)),1), Equals(LengthOf(Line(A,B)),a<1), Line(A,B), SideOf(Regular(Polygon($))), LengthOf(Triangle(A,B,C)), Circle(O), Point(D), Point(A), Equals(LengthOf(Line(D,B)),a), Equals(LengthOf(Line(A,B)),a), Line(D,C), Point(E), LengthOf(Line(A,E))",IsChordOf Line AB Circle O   Equals RadiusOf Circle O  1  Equals LengthOf Line AB  a<1  Line AB  SideOf Regular Polygon $    LengthOf Triangle ABC   Circle O  Point D  Point A  Equals LengthOf Line DB  a  Equals LengthOf Line AB  a  Line DC  Point E  LengthOf Line AE  ,1
1705,((sin(30.0/180*pi))*4.0),"Angle($), Triangle($), Circle(O), Point(A), Point(B), Equals(DiameterOf(Circle(O)),4), IsChordOf(Line(A,B),Circle($))",Angle $  Triangle $  Circle O  Point A  Point B  Equals DiameterOf Circle O  4  IsChordOf Line AB Circle $  ,2
1706,(|((30.0+40.0)+50.0)-360|/360),Sector($),Sector $ ,0.666666667
1707,|90-53.0|,"Parallelogram(A,B,C,D), Line(B,E), Equals(MeasureOf(Angle(A,D,C)),53бу), Line(A,E), MeasureOf(Angle(A,E,B))",Parallelogram ABCD  Line BE  Equals MeasureOf Angle ADC  53бу  Line AE  MeasureOf Angle AEB  ,37
1708,(|3.5-2.0|*2),"Equals(RadiusOf(Circle(C)),2), Point(O), Circle($), Equals(LengthOf(Line(O,C)),3.5), Point(P), Circle(C), Point(A), Point(B), Line(l), SinOf(g), Equals(LengthOf(Line(O,A)),Line(O,B)), Equals(MeasureOf(Angle(A,P,B)),90бу), Point(C), Line(A,B)",Equals RadiusOf Circle C  2  Point O  Circle $  Equals LengthOf Line OC  3.5  Point P  Circle C  Point A  Point B  Line l  SinOf g  Equals LengthOf Line OA  Line OB   Equals MeasureOf Angle APB  90бу  Point C  Line AB ,3
1709,||180-90|-30.0|,"IsChordOf(Line(A,B),Circle($)), IsChordOf(Line(C,D),Circle($)), Point(E), Line(A,B), Line(C,D), Equals(MeasureOf(Angle(A)),30бу), MeasureOf(Angle(B))",IsChordOf Line AB Circle $   IsChordOf Line CD Circle $   Point E  Line AB  Line CD  Equals MeasureOf Angle A  30бу  MeasureOf Angle B  ,60
1710,(60.0/2),"Equals(MeasureOf(Angle(A,O,B)),Angle($)), Circle(O), Equals(MeasureOf(Angle(A,O,B)),60бу), Angle($), MeasureOf(Angle(A,C,B))",Equals MeasureOf Angle AOB  Angle $   Circle O  Equals MeasureOf Angle AOB  60бу  Angle $  MeasureOf Angle ACB  ,30
1711,(72.0/2),"Point(A), Point(B), Point(C), Circle(O), Equals(MeasureOf(Angle(A,O,C)),72бу), MeasureOf(Angle(A,B,C))",Point A  Point B  Point C  Circle O  Equals MeasureOf Angle AOC  72бу  MeasureOf Angle ABC  ,36
1712,(55.0*2),"IsDiameterOf(Line(A,B),Circle(O)), Point(C), Circle(O), Equals(MeasureOf(Angle(O,C,A)),55бу), MeasureOf(Angle(B,O,C))",IsDiameterOf Line AB Circle O   Point C  Circle O  Equals MeasureOf Angle OCA  55бу  MeasureOf Angle BOC  ,110
1713,((60*2)/2),"Equals(RadiusOf(Circle(O)),5), Equals(IsChordOf(LengthOf(Line(A,B)),Circle($)),5б╠{3}), Circle($), MeasureOf(Angle(A,C,B))",Equals RadiusOf Circle O  5  Equals IsChordOf LengthOf Line AB  Circle $  5б╠{3}  Circle $  MeasureOf Angle ACB  ,60
1714,((42.0*2)+(22.0*2)),"Point(A), Point(B), Point(C), Circle(O), Equals(MeasureOf(Angle(A,B,O)),22бу), Equals(MeasureOf(Angle(A,C,O)),42бу), MeasureOf(Angle(B,O,C))",Point A  Point B  Point C  Circle O  Equals MeasureOf Angle ABO  22бу  Equals MeasureOf Angle ACO  42бу  MeasureOf Angle BOC  ,128
1715,(|(50.0*2)-140.0|/2),"Circle(O), Equals(MeasureOf(Angle(A,O,C)),140бу), Equals(MeasureOf(Angle(A,C,B)),50бу), MeasureOf(Angle(B,A,C))",Circle O  Equals MeasureOf Angle AOC  140бу  Equals MeasureOf Angle ACB  50бу  MeasureOf Angle BAC  ,20
1716,(|(25.0*2)-180|/2),"Circle(O), Equals(MeasureOf(Angle(A,C,B)),25бу), MeasureOf(Angle(B,A,O))",Circle O  Equals MeasureOf Angle ACB  25бу  MeasureOf Angle BAO  ,65
1719,(6.0/2),"Circle(A), Equals(RadiusOf(Circle(A)),5), IsChordOf(Line(B,C),Circle($)), IsChordOf(Line(E,D),Circle($)), MeasureOf(Angle(B,A,C)), MeasureOf(Angle(E,A,D)), Equals(LengthOf(Line(D,E)),6), Equals(Add(MeasureOf(Angle(B,A,C)),MeasureOf(Angle(E,A,D))),180бу), IsChordOf(LengthOf(Line(B,C)),Circle($))",Circle A  Equals RadiusOf Circle A  5  IsChordOf Line BC Circle $   IsChordOf Line ED Circle $   MeasureOf Angle BAC   MeasureOf Angle EAD   Equals LengthOf Line DE  6  Equals Add MeasureOf Angle BAC  MeasureOf Angle EAD   180бу  IsChordOf LengthOf Line BC  Circle $  ,3
1721,||180-20.0|-20.0|,"IsDiameterOf(Line(A,B),Circle(O)), Line(A,C), Line(C,D), Circle(O), Line(A,B), Line(O,D), Equals(MeasureOf(Angle(C,A,B)),20бу), MeasureOf(Angle(A,O,D))",IsDiameterOf Line AB Circle O   Line AC  Line CD  Circle O  Line AB  Line OD  Equals MeasureOf Angle CAB  20бу  MeasureOf Angle AOD  ,140
1722,(35.0*2),"Point(C), Circle(O), Equals(MeasureOf(Angle(A,C,B)),35бу), MeasureOf(Angle(A,O,B))",Point C  Circle O  Equals MeasureOf Angle ACB  35бу  MeasureOf Angle AOB  ,70
1723,|90-23.0|,"Circle(O), IsDiameterOf(Line(A,B),Circle(O)), Equals(MeasureOf(Angle(C,A,B)),23бу), MeasureOf(Angle(A,B,C))",Circle O  IsDiameterOf Line AB Circle O   Equals MeasureOf Angle CAB  23бу  MeasureOf Angle ABC  ,67
1724,(50.0*2),"MeasureOf(Angle(C,A,B)), Angle($), Circle(O), Equals(MeasureOf(Angle(C,A,B)),50бу), MeasureOf(Angle(B,O,C))",MeasureOf Angle CAB   Angle $  Circle O  Equals MeasureOf Angle CAB  50бу  MeasureOf Angle BOC  ,100
1726,(44.0/2),"IsDiameterOf(Line(A,B),Circle(O)), Circle(O), Equals(MeasureOf(Angle(B,O,D)),44бу), MeasureOf(Angle(C))",IsDiameterOf Line AB Circle O   Circle O  Equals MeasureOf Angle BOD  44бу  MeasureOf Angle C  ,22
1727,(8.0/2),"Equals(Equals(DiameterOf(Circle(O)),LengthOf(Line(A,B))),8), Equals(MeasureOf(Angle(C,B,D)),30бу), LengthOf(Line(C,D))",Equals Equals DiameterOf Circle O  LengthOf Line AB   8  Equals MeasureOf Angle CBD  30бу  LengthOf Line CD  ,4
1729,||180-90|-42.0|,"IsDiameterOf(Line(A,B),Circle(O)), Equals(MeasureOf(Angle(B,A,C)),42бу), IsMidpointOf(Point(D),Line($)), IsChordOf(Line(A,C),Circle($)), MeasureOf(Angle(D,O,C))",IsDiameterOf Line AB Circle O   Equals MeasureOf Angle BAC  42бу  IsMidpointOf Point D Line $   IsChordOf Line AC Circle $   MeasureOf Angle DOC  ,48
1730,((sin(30.0/180*pi))*6.0),"Equals(Equals(DiameterOf(Circle(O)),LengthOf(Line(B,C))),6), Circle(O), Equals(MeasureOf(Angle(C)),30бу), LengthOf(Line(A,B))",Equals Equals DiameterOf Circle O  LengthOf Line BC   6  Circle O  Equals MeasureOf Angle C  30бу  LengthOf Line AB  ,3
1731,(|180-112.0|*2),"Point(A), Point(B), Point(C), Circle(O), Equals(MeasureOf(Angle(A,C,B)),112бу), Angle($)",Point A  Point B  Point C  Circle O  Equals MeasureOf Angle ACB  112бу  Angle $ ,136
1732,|(40.0/2)-50.0|,"Line(O,A), Circle(O), Line(O,B), Equals(MeasureOf(Angle(A,O,B)),40бу), Equals(MeasureOf(Angle(O,C,B)),50бу), MeasureOf(Angle(O,A,C))",Line OA  Circle O  Line OB  Equals MeasureOf Angle AOB  40бу  Equals MeasureOf Angle OCB  50бу  MeasureOf Angle OAC  ,30
1733,(б╠((4.0+4.0)*(4.0+4.0)-2.0*2.0)),"Quadrilateral(A,B,C,D), Parallel(Line(A,B),Line(C,D)), Equals(LengthOf(Line(A,B)),4), Equals(LengthOf(Line(A,C)),4), Equals(LengthOf(Line(A,D)),4), Equals(LengthOf(Line(B,C)),2), Line(B,D)",Quadrilateral ABCD  Parallel Line AB Line CD   Equals LengthOf Line AB  4  Equals LengthOf Line AC  4  Equals LengthOf Line AD  4  Equals LengthOf Line BC  2  Line BD ,7.745966692
1734,|90-40.0|,"IsDiameterOf(Line(A,B),Circle(O)), IsChordOf(Line(C,D),Circle(O)), Equals(MeasureOf(Angle(A,C,D)),40бу), MeasureOf(Angle(B,A,D))",IsDiameterOf Line AB Circle O   IsChordOf Line CD Circle O   Equals MeasureOf Angle ACD  40бу  MeasureOf Angle BAD  ,50
1735,(32.0*2),"Point(A), Point(B), Point(C), Circle(O), Equals(MeasureOf(Angle(C)),32бу), MeasureOf(Angle(A,O,B))",Point A  Point B  Point C  Circle O  Equals MeasureOf Angle C  32бу  MeasureOf Angle AOB  ,64
1736,(32.0*2),"Point(A), Point(B), Point(C), Circle(O), Equals(MeasureOf(Angle(A)),32бу), MeasureOf(Angle(B,O,C))",Point A  Point B  Point C  Circle O  Equals MeasureOf Angle A  32бу  MeasureOf Angle BOC  ,64
1739,(б╠((10.0*2)*(10.0*2)-12.0*12.0)),"Circle(A), Equals(RadiusOf(Circle(A)),10), IsChordOf(Line(B,C),Circle($)), IsChordOf(Line(E,D),Circle($)), MeasureOf(Angle(B,A,C)), MeasureOf(Angle(E,A,D)), Equals(LengthOf(Line(D,E)),12), Equals(Add(MeasureOf(Angle(B,A,C)),MeasureOf(Angle(E,A,D))),180бу), IsChordOf(LengthOf(Line(B,C)),Circle($))",Circle A  Equals RadiusOf Circle A  10  IsChordOf Line BC Circle $   IsChordOf Line ED Circle $   MeasureOf Angle BAC   MeasureOf Angle EAD   Equals LengthOf Line DE  12  Equals Add MeasureOf Angle BAC  MeasureOf Angle EAD   180бу  IsChordOf LengthOf Line BC  Circle $  ,16
1740,((||180-20.0|-20.0|+20.0)/2),"Point(A), Point(B), Point(C), Circle(O), Parallel(Line(A,O),Line(D,C)), Equals(MeasureOf(Angle(A,O,D)),20бу), MeasureOf(Angle(B))",Point A  Point B  Point C  Circle O  Parallel Line AO Line DC   Equals MeasureOf Angle AOD  20бу  MeasureOf Angle B  ,80
1741,(|(50.0*2)-180|/2),"Circle(O), Equals(MeasureOf(Angle(A)),50бу), MeasureOf(Angle(O,B,C))",Circle O  Equals MeasureOf Angle A  50бу  MeasureOf Angle OBC  ,40
1742,(100.0/2),"IsDiameterOf(Line(A,C),Circle(O)), IsChordOf(Line(A,B),Circle(O)), Equals(MeasureOf(Angle(B,O,C)),100бу), MeasureOf(Angle(O,A,B))",IsDiameterOf Line AC Circle O   IsChordOf Line AB Circle O   Equals MeasureOf Angle BOC  100бу  MeasureOf Angle OAB  ,50
1743,(62.0/2),"Point(A), Point(B), Point(C), Circle(O), Equals(MeasureOf(Angle(A,O,B)),62бу), MeasureOf(Angle(A,C,B))",Point A  Point B  Point C  Circle O  Equals MeasureOf Angle AOB  62бу  MeasureOf Angle ACB  ,31
1744,(100.0/2),"Circle(O), Equals(MeasureOf(Angle(B,O,C)),100бу), MeasureOf(Angle(B,A,C))",Circle O  Equals MeasureOf Angle BOC  100бу  MeasureOf Angle BAC  ,50
1745,(|360-300.0|/2),"Circle(O), MeasureOf(Angle(C))",Circle O  MeasureOf Angle C  ,30
1746,(25.0*2),"Circle(O), Line(O,A), Line(B,C), Equals(MeasureOf(Angle(A,D,B)),25бу), MeasureOf(Angle(A,O,C))",Circle O  Line OA  Line BC  Equals MeasureOf Angle ADB  25бу  MeasureOf Angle AOC  ,50
1747,(|180-130.0|*2),"Line(A,B), Line(B,C), Circle(O), Line(O,A), Line(O,B), Equals(MeasureOf(Angle(A,B,C)),130бу), MeasureOf(Angle(A,O,C))",Line AB  Line BC  Circle O  Line OA  Line OB  Equals MeasureOf Angle ABC  130бу  MeasureOf Angle AOC  ,100
1748,(50.0/2),"Circle(O), Equals(MeasureOf(Angle(A,O,B)),50бу), Angle($), MeasureOf(Angle(A,C,B))",Circle O  Equals MeasureOf Angle AOB  50бу  Angle $  MeasureOf Angle ACB  ,25
1749,|90-40.0|,"IsDiameterOf(Line(A,B),Circle(O)), Point(C), Point(D), Circle(O), Equals(MeasureOf(Angle(C,A,B)),40бу), MeasureOf(Angle(A,D,C))",IsDiameterOf Line AB Circle O   Point C  Point D  Circle O  Equals MeasureOf Angle CAB  40бу  MeasureOf Angle ADC  ,50
1750,(|||90-30.0|-180|-180|/2),"IsDiameterOf(Line(A,B),Circle(O)), Circle(O), Equals(MeasureOf(Angle(B,A,C)),30бу), Line(A,D), Line(C,D), MeasureOf(Angle(D,A,C))",IsDiameterOf Line AB Circle O   Circle O  Equals MeasureOf Angle BAC  30бу  Line AD  Line CD  MeasureOf Angle DAC  ,30
1753,((|(55.0*2)-180|*2)/2),"IsDiameterOf(Line(A,D),Circle($)), Circle($), IsMidpointOf(Point(C),Line($)), Line(B,D), Equals(MeasureOf(Angle(A,D,C)),55бу), MeasureOf(Angle(B,A,D))",IsDiameterOf Line AD Circle $   Circle $  IsMidpointOf Point C Line $   Line BD  Equals MeasureOf Angle ADC  55бу  MeasureOf Angle BAD  ,70
1754,(((sin((30.0*2)/180*pi))*3.0)*2),"Point(A), Point(B), Point(C), Circle(O), Equals(RadiusOf(Circle(O)),3), Line(O,A), Line(B,C), Equals(MeasureOf(Angle(C,D,A)),30бу), IsChordOf(Line(B,C),Circle($))",Point A  Point B  Point C  Circle O  Equals RadiusOf Circle O  3  Line OA  Line BC  Equals MeasureOf Angle CDA  30бу  IsChordOf Line BC Circle $  ,5.196152423
1755,(|180-112.0|*2),"Point(A), Point(B), Point(C), Circle(O), Equals(MeasureOf(Angle(A,C,B)),112бу), Angle($)",Point A  Point B  Point C  Circle O  Equals MeasureOf Angle ACB  112бу  Angle $ ,136
1756,((90/2)+|90-30.0|),"IsDiameterOf(Line(A,B),Circle(O)), Point(C), Circle(O), BisectsAngle(Line(C,D),MeasureOf(Angle(A,C,B))), Point(D), Equals(MeasureOf(Angle(A,B,C)),30бу), MeasureOf(Angle(C,A,D))",IsDiameterOf Line AB Circle O   Point C  Circle O  BisectsAngle Line CD MeasureOf Angle ACB    Point D  Equals MeasureOf Angle ABC  30бу  MeasureOf Angle CAD  ,105
1757,(|((15.0+20.0)*2)-180|/2),"Circle(O), Equals(MeasureOf(Angle(B,A,C)),15бу), Equals(MeasureOf(Angle(A,D,C)),20бу), MeasureOf(Angle(A,B,O))",Circle O  Equals MeasureOf Angle BAC  15бу  Equals MeasureOf Angle ADC  20бу  MeasureOf Angle ABO  ,55
1758,|90-20.0|,"Line(A,B), Circle(O), Equals(MeasureOf(Angle(A,D,C)),20бу), MeasureOf(Angle(C,A,B))",Line AB  Circle O  Equals MeasureOf Angle ADC  20бу  MeasureOf Angle CAB  ,70
1759,||||90-25.0|-180|-||90-25.0|-180||-90|,"Triangle(A,B,C), Equals(MeasureOf(Angle(A)),25бу), Equals(MeasureOf(Angle(A,C,B)),90бу), Point(C), Line(B,C), Circle($), Line(A,B), Point(D), Line(A,C), Point(E), MeasureOf(Angle(D,C,E))",Triangle ABC  Equals MeasureOf Angle A  25бу  Equals MeasureOf Angle ACB  90бу  Point C  Line BC  Circle $  Line AB  Point D  Line AC  Point E  MeasureOf Angle DCE  ,40
1762,(((sin((22.5*2)/180*pi))*3.0)*2),"Line(A,B), Circle(O), IsChordOf(Line(C,D),Circle($)), Equals(MeasureOf(Angle(A)),22.5бу), Equals(LengthOf(Line(O,C)),3), LengthOf(Line(C,D))",Line AB  Circle O  IsChordOf Line CD Circle $   Equals MeasureOf Angle A  22.5бу  Equals LengthOf Line OC  3  LengthOf Line CD  ,4.242640687
1763,(|(35.0*2)-180|/2),"Circle(O), Circle($), LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(C)),35бу), MeasureOf(Angle(O,B,A))",Circle O  Circle $  LengthOf Triangle ABC   Equals MeasureOf Angle C  35бу  MeasureOf Angle OBA  ,55
1764,||180-34.0|-34.0|,"IsDiameterOf(Line(A,B),Circle(O)), Circle($), Equals(MeasureOf(Angle(D)),34бу), MeasureOf(Angle(B,O,C))",IsDiameterOf Line AB Circle O   Circle $  Equals MeasureOf Angle D  34бу  MeasureOf Angle BOC  ,112
1765,(110.0/2),"IsDiameterOf(Line(A,B),Circle(O)), IsChordOf(Line(C,D),Circle($)), Line(A,B), Point(E), Line(O,C), Line(B,D), Equals(MeasureOf(Angle(A,O,C)),110бу), MeasureOf(Angle(A,B,D))",IsDiameterOf Line AB Circle O   IsChordOf Line CD Circle $   Line AB  Point E  Line OC  Line BD  Equals MeasureOf Angle AOC  110бу  MeasureOf Angle ABD  ,55
1766,(60.0/2),"Circle(O), Equals(MeasureOf(Angle(A,O,B)),60бу), MeasureOf(Angle(A,C,B))",Circle O  Equals MeasureOf Angle AOB  60бу  MeasureOf Angle ACB  ,30
1767,||180-110.0|-90|,"IsDiameterOf(Line(A,B),Circle(O)), Point(C), Point(D), Circle(O), Equals(MeasureOf(Angle(B,O,C)),110бу), Parallel(Line(A,D),Line(O,C)), MeasureOf(Angle(A,B,D))",IsDiameterOf Line AB Circle O   Point C  Point D  Circle O  Equals MeasureOf Angle BOC  110бу  Parallel Line AD Line OC   MeasureOf Angle ABD  ,20
1768,|(|180-50.0|/2)-90|,"Circle(O), Line(A,B), Equals(LengthOf(Line(A,C)),Line(C,D)), Equals(MeasureOf(Angle(A,C,D)),50бу), MeasureOf(Angle(B,A,C))",Circle O  Line AB  Equals LengthOf Line AC  Line CD   Equals MeasureOf Angle ACD  50бу  MeasureOf Angle BAC  ,25
1769,(|(40.0*2)-180|/2),"MeasureOf(Angle(A)), Angle($), Circle(O), Equals(MeasureOf(Angle(A)),40бу), MeasureOf(Angle(O,B,C))",MeasureOf Angle A   Angle $  Circle O  Equals MeasureOf Angle A  40бу  MeasureOf Angle OBC  ,50
1771,((sin(60.0/180*pi))*8.0),"Equals(Equals(DiameterOf(Circle(O)),LengthOf(Line(A,B))),8cm), Point(C), Circle(O), Equals(MeasureOf(Angle(B,O,C)),60бу), LengthOf(Line(A,C))",Equals Equals DiameterOf Circle O  LengthOf Line AB   8cm  Point C  Circle O  Equals MeasureOf Angle BOC  60бу  LengthOf Line AC  ,6.92820323
1772,(100.0/2),"Point(A), Point(B), Point(C), Circle(O), Equals(MeasureOf(Angle(B,O,C)),100бу), MeasureOf(Angle(A))",Point A  Point B  Point C  Circle O  Equals MeasureOf Angle BOC  100бу  MeasureOf Angle A  ,50
1774,(30.0*2),"IsChordOf(Line(A,B),Circle(O)), Line(O,C), Line(A,B), Circle(O), Point(C), Point(D), Equals(MeasureOf(Angle(A,D,C)),30бу), MeasureOf(Angle(B,O,C))",IsChordOf Line AB Circle O   Line OC  Line AB  Circle O  Point C  Point D  Equals MeasureOf Angle ADC  30бу  MeasureOf Angle BOC  ,60
1775,(|(40.0*2)-180|/2),"IsDiameterOf(Line(A,B),Circle(O)), Point(C), Point(D), Point(E), Circle(O), Equals(MeasureOf(Angle(A,C,D)),40бу), MeasureOf(Angle(B,E,D))",IsDiameterOf Line AB Circle O   Point C  Point D  Point E  Circle O  Equals MeasureOf Angle ACD  40бу  MeasureOf Angle BED  ,50
1777,|(50.0*2)-55.0|,"Circle(O), Angle($), Equals(MeasureOf(Angle(A,C,B)),50бу), Equals(MeasureOf(Angle(A,O,P)),55бу), MeasureOf(Angle(P,O,B))",Circle O  Angle $  Equals MeasureOf Angle ACB  50бу  Equals MeasureOf Angle AOP  55бу  MeasureOf Angle POB  ,45
1778,((б╠(2.0*2.0+4.0*4.0))/2),"Circle(O), IsChordOf(Line(A,B),Circle($)), IsChordOf(Line(C,D),Circle($)), MeasureOf(Angle(A,O,B)), MeasureOf(Angle(C,O,D)), Equals(SumOf(MeasureOf(MeasureOf(Angle(A,O,B))),MeasureOf(MeasureOf(Angle(A,O,B)))),90), Equals(LengthOf(Line(A,B)),2), Equals(LengthOf(Line(C,D)),4), RadiusOf(Circle(O))",Circle O  IsChordOf Line AB Circle $   IsChordOf Line CD Circle $   MeasureOf Angle AOB   MeasureOf Angle COD   Equals SumOf MeasureOf MeasureOf Angle AOB   MeasureOf MeasureOf Angle AOB    90  Equals LengthOf Line AB  2  Equals LengthOf Line CD  4  RadiusOf Circle O  ,2.236067977
1779,(||180-40.0|-40.0|/2),"IsDiameterOf(Line(A,D),Circle(O)), Line(A,B), Line(C,D), Equals(MeasureOf(Angle(A,O,B)),40бу), Angle($), MeasureOf(Angle(B,P,C))",IsDiameterOf Line AD Circle O   Line AB  Line CD  Equals MeasureOf Angle AOB  40бу  Angle $  MeasureOf Angle BPC  ,50
1781,(||180-40.0|-40.0|/2),"Point(A), Point(B), Point(C), Circle(O), Equals(MeasureOf(Angle(O,B,C)),40бу), MeasureOf(Angle(A))",Point A  Point B  Point C  Circle O  Equals MeasureOf Angle OBC  40бу  MeasureOf Angle A  ,50
1782,(((sin((22.5*2)/180*pi))*6.0)*2),"Line(A,B), Circle(O), IsChordOf(Line(C,D),Circle($)), Point(E), Equals(MeasureOf(Angle(C,A,O)),22.5бу), Equals(LengthOf(Line(O,C)),6), LengthOf(Line(C,D))",Line AB  Circle O  IsChordOf Line CD Circle $   Point E  Equals MeasureOf Angle CAO  22.5бу  Equals LengthOf Line OC  6  LengthOf Line CD  ,8.485281374
1783,(((sin(45.0/180*pi))/5.0)/2),"IsChordOf(Line(A,B),Circle(O)), Equals(LengthOf(Line(A,B)),5), Point(C), Circle(O), Equals(MeasureOf(Angle(A,C,B)),45бу), IsMidpointOf(Point(M),Line(A,B)), IsMidpointOf(Point(N),Line(A,B)), Line(A,C), Line(M,N)",IsChordOf Line AB Circle O   Equals LengthOf Line AB  5  Point C  Circle O  Equals MeasureOf Angle ACB  45бу  IsMidpointOf Point M Line AB   IsMidpointOf Point N Line AB   Line AC  Line MN ,3.535533906
1784,|90-35.0|,"IsDiameterOf(Line(B,C),Circle($)), Equals(MeasureOf(Angle(A,B,C)),35бу), MeasureOf(Angle(D))",IsDiameterOf Line BC Circle $   Equals MeasureOf Angle ABC  35бу  MeasureOf Angle D  ,55
1785,|(||180-20.0|-20.0|/2)-180|,"IsDiameterOf(Line(A,B),Circle($)), Circle($), IsCentroidOf(Point(O),Circle($)), Equals(MeasureOf(Angle(A,C,O)),20бу), MeasureOf(Angle(D))",IsDiameterOf Line AB Circle $   Circle $  IsCentroidOf Point O Circle $   Equals MeasureOf Angle ACO  20бу  MeasureOf Angle D  ,110
1787,||180-130.0|-90|,"IsDiameterOf(Line(A,B),Circle(O)), Point(C), Circle(O), Parallel(Line(O,D),Line(A,C)), Equals(MeasureOf(Angle(B,O,D)),130бу), MeasureOf(Angle(B))",IsDiameterOf Line AB Circle O   Point C  Circle O  Parallel Line OD Line AC   Equals MeasureOf Angle BOD  130бу  MeasureOf Angle B  ,40
